,zpid,id,providerListingId,imgSrc,hasImage,carouselPhotos,detailUrl,statusType,statusText,countryCurrency,price,unformattedPrice,address,addressStreet,addressCity,addressState,addressZipcode,isUndisclosedAddress,beds,baths,area,latLong,isZillowOwned,variableData,badgeInfo,isSaved,isUserClaimingOwner,isUserConfirmedClaim,pgapt,sgapt,zestimate,shouldShowZestimateAsPrice,has3DModel,hasVideo,isHomeRec,brokerName,hasAdditionalAttributions,isFeaturedListing,isShowcaseListing,availabilityDate,list,relaxed,hasOpenHouse,openHouseDescription,openHouseEndDate,openHouseStartDate,info3String,streetViewMetadataURL,streetViewURL,lotAreaString,isPropertyResultCDP,best_deal
41,119917571,119917571,1661722,https://photos.zillowstatic.com/fp/c45d5a6d79cff58ea91e9b6243c192f2-p_e.jpg,TRUE,"[{'url': 'https://photos.zillowstatic.com/fp/c45d5a6d79cff58ea91e9b6243c192f2-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/cec7be8a8d640a204c0ea4e3c32328c9-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/0b0cea2afb8bd9c7c5cb980c4e6ebc65-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/89e99cded9c235d1f6f962737570a4ea-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/517fc4a5d73ce8f755d4f9eacbb8fc66-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/74197cd27c54a93813b98589065c850e-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/85c0624728bb82bb62f39e7f7f20015d-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/138735afd11faa8dd517b86eb1a9744e-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/1f7e728df4a3f5e1a84df25f7c0baba9-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/12b226017c7a83b943968e1bccaffdaf-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/619e2c7c97ff9d19172bec0928d740b5-p_e.jpg'}]",https://www.zillow.com/homedetails/100-W-57th-St-11A-New-York-NY-10019/119917571_zpid/,FOR_SALE,Condo for sale,$,"$150,000.00",150000.0,"100 W 57th St #11A, New York, NY 10019",100 W 57th St #11A,New York,NY,10019,FALSE,0.0,1.0,450,"{'latitude': 40.764317, 'longitude': -73.9776}",FALSE,"{'type': 'DAYS_ON', 'text': '104 days on Zillow'}",,FALSE,FALSE,FALSE,ForSale,For Sale (Broker),148000,FALSE,FALSE,FALSE,FALSE,Listing by: J. One Corporation,TRUE,FALSE,FALSE,,TRUE,FALSE,,,,,,,,,,2000.0
42,2058192653,2058192653,,https://photos.zillowstatic.com/fp/91a74cfb58175f4d605a4d811687c180-p_e.jpg,TRUE,"[{'url': 'https://photos.zillowstatic.com/fp/91a74cfb58175f4d605a4d811687c180-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/f302ccbd14e52a0a719ab59824b78fd3-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/fe4186bbfe4e387aad0424ff576ab8a9-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/ef3461e48da26c486e65ffd80c3ee372-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/d2e66c72db16b1010d5bcdaf2cefd2e8-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/ed8ce95ef4ef9b83791cd01dd690bb8f-p_e.jpg'}]",https://www.zillow.com/homedetails/24-Cooper-St-B-New-York-NY-10034/2058192653_zpid/,FOR_SALE,Condo for sale,$,"$180,000.00",180000.0,"24 Cooper Street UNIT B, New York, NY 10034",24 Cooper Street UNIT B,New York,NY,10034,FALSE,1.0,1.0,615,"{'latitude': 40.867687, 'longitude': -73.92461}",FALSE,"{'type': 'PRICE_REDUCTION', 'text': '$10,000 (Jul 31)'}",,FALSE,FALSE,FALSE,ForSale,For Sale (Broker),0,FALSE,FALSE,FALSE,FALSE,Listing by: The Bridge Realty Group NY LLC,TRUE,FALSE,FALSE,,TRUE,FALSE,,,,,https://photos.zillowstatic.com/fp/4e66a55bd37a412d002fb678e0dbded9-zillow_web_48_23.jpg,,,,,180000.0
43,2058348262,2058348262,1676806,https://photos.zillowstatic.com/fp/02326a0fcc67454432fe50d68947b9c8-p_e.jpg,TRUE,[{'url': 'https://photos.zillowstatic.com/fp/02326a0fcc67454432fe50d68947b9c8-p_e.jpg'}],https://www.zillow.com/homedetails/224-Bradhurst-Ave-4-New-York-NY-10039/2058348262_zpid/,FOR_SALE,Condo for sale,$,"$185,000.00",185000.0,"224 Bradhurst Ave #4, New York, NY 10039",224 Bradhurst Ave #4,New York,NY,10039,FALSE,1.0,1.0,580,"{'latitude': 40.828316, 'longitude': -73.938934}",FALSE,"{'type': 'DAYS_ON', 'text': '4 days on Zillow'}",,FALSE,FALSE,FALSE,ForSale,For Sale (Broker),212400,FALSE,FALSE,FALSE,FALSE,Listing by: Ready Group,TRUE,FALSE,FALSE,,TRUE,FALSE,,,,,,,,,,-27400.0
44,2088584522,2088584522,1454319,https://photos.zillowstatic.com/fp/7196af4cfc88d57b7a5886b18a15d659-p_e.jpg,TRUE,"[{'url': 'https://photos.zillowstatic.com/fp/7196af4cfc88d57b7a5886b18a15d659-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/df8fc16381daca34096b75cf64f7ba29-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/a4389d9e56893d80878c1ad346fd5b5b-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/5806afeb93f18907b1b09948dc2dbd01-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/2d23b9267355b33f20442741e87d3412-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/b8254627a7d1b6ff7a341cda7135198e-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/70ccb149dce64f1012118b1ae026431e-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/d7d1d7541271860c94bed4b6c0b8252f-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/a412024cadf2b76b20b0632ea780bcd7-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/144e5853642d769641ff2f30eaba737c-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/9984b3a1638176d0c60d0094870f3189-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/5b23b167ca7019f75381d7df56bcf981-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/05ef67a6830da377bfe075f47ab522aa-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/e0e252f31f0df3369d911d6c0053431a-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/754e46df71bb4f77301d6eec3e80622e-p_e.jpg'}]",https://www.zillow.com/homedetails/1993-Amsterdam-Ave-APT-64-New-York-NY-10032/2088584522_zpid/,FOR_SALE,Condo for sale,$,"$185,000.00",185000.0,"1993 Amsterdam Ave APT 64, New York, NY 10032",1993 Amsterdam Ave APT 64,New York,NY,10032,FALSE,2.0,1.0,600,"{'latitude': 40.8337, 'longitude': -73.941}",FALSE,"{'type': 'OPEN_HOUSE', 'text': 'Open: Thu. 2-3pm'}",,FALSE,FALSE,FALSE,ForSale,For Sale (Broker),0,FALSE,FALSE,FALSE,FALSE,Listing by: RC Realty Group of New York Inc,TRUE,FALSE,FALSE,,TRUE,FALSE,TRUE,Open House - 2:00 - 3:00 PM,2023-08-24T15:00:00,2023-08-24T14:00:00,,,,,,185000.0
